Code,Reverse punch,Front kick,Low roundhouse kick,High roundhouse kick,Spinning back kick
B0367,"3(A), 6(S), 0(O)","6(A), 5(S), 0(O)","6(A), 6(S), 0(O)","6(A), 6(S), 0(O)","6(A), 3(S), 0(O)"
B0368,"9(A), 6(S), 9(O)","6(A), 6(S), 6(O)","6(A), 6(S), 6(O)","6(A), 6(S), 6(O)","6(A), 6(S), 0(O)"
B0369,"6(A), 6(S), 0(O)","6(A), 6(S), 0(O)","6(A), 6(S), 0(O)","6(A), 6(S), 0(O)","6(A), 6(S), 0(O)"
B0370,"6(A), 6(S), 7(O)","6(A), 6(S), 6(O)","6(A), 6(S), 6(O)","6(A), 6(S), 6(O)","0(A), 0(S), 0(O)"
B0371,"6(A), 6(S), 6(O)","6(A), 6(S), 6(O)","6(A), 6(S), 6(O)","6(A), 6(S), 6(O)","6(A), 6(S), 6(O)"
B0372,"6(A), 6(S), 6(O)","6(A), 6(S), 6(O)","6(A), 6(S), 6(O)","6(A), 6(S), 6(O)","6(A), 6(S), 6(O)"
B0373,"6(A), 6(S), 6(O)","6(A), 6(S), 6(O)","6(A), 6(S), 6(O)","6(A), 6(S), 6(O)","6(A), 6(S), 6(O)"
B0374,"6(A), 6(S), 8(O)","9(A), 6(S), 6(O)","6(A), 6(S), 6(O)","6(A), 6(S), 6(O)","6(A), 6(S), 6(O)"
B0375,"6(A), 6(S), 7(O)","6(A), 6(S), 6(O)","6(A), 6(S), 6(O)","6(A), 6(S), 6(O)","6(A), 6(S), 6(O)"
B0376,"6(A), 6(S), 7(O)","6(A), 6(S), 3(O)","6(A), 6(S), 8(O)","6(A), 6(S), 6(O)","9(A), 6(S), 6(O)"
B0377,"6(A), 6(S), 6(O)","6(A), 6(S), 6(O)","6(A), 6(S), 6(O)","6(A), 6(S), 6(O)","6(A), 6(S), 5(O)"
B0378,"6(A), 6(S), 6(O)","6(A), 6(S), 6(O)","6(A), 6(S), 6(O)","6(A), 9(S), 6(O)","6(A), 3(S), 6(O)"
