Code,Air,Shield,Opponent,Total
B0367,27,26,0,53
B0368,33,30,27,90
B0369,30,30,0,60
B0370,24,24,25,73
B0371,30,30,30,90
B0372,30,30,30,90
B0373,30,30,30,90
B0374,33,30,32,95
B0375,30,30,31,91
B0376,33,30,30,93
B0377,30,30,29,89
B0378,30,30,30,90
B0379,31,32,35,98
B0380,30,32,30,92
B0381,30,30,33,93
B0382,31,30,30,91
B0383,27,30,0,57
B0384,30,30,35,95
B0385,30,30,36,96
B0386,30,30,36,96
B0387,30,30,30,90
B0388,30,30,59,119
B0389,28,30,30,88
B0391,30,32,30,92
B0392,30,30,31,91
B0393,31,45,32,108
B0394,30,30,33,93
B0395,30,30,33,93
B0396,33,27,30,90
B0398,33,30,30,93
B0399,30,30,27,87
B0400,31,30,35,96
B0401,30,27,30,87
B0402,27,30,30,87
B0403,30,29,33,92
B0404,30,30,30,90
B0405,30,30,30,90
